Recurso;XP/unidad
Ballon bleu;0,025
Phéromone de Tofu;0,025
Badge de Malicien;0,025
Noix Kabombz;0,025
Graisse de larve Kabombz;0,025
Pétale de tournelion;0,025
Aigrette épicée de duvetueux;0,025
Blé;0,03
Bois de Frêne;0,03
Fer;0,03
Ortie;0,03
Goujon;0,03
Poudre de Perlinpainpain;0,0372
Greuvette;0,04
Bave de Bouftou;0,041
Plume Chimérique;0,0424
Feu Intérieur;0,0424
Œuf Chimérique;0,0424
Pétale Diaphane;0,0427
Cendres Éternelles;0,0428
Viande Intangible;0,0428
Peau de Gloot;0,0429
Laine Céleste;0,0435
Queue de Chapardam;0,0444
Volve d'Aminite;0,0452
Relique d'Incarnam;0,0453
Eau Potable;0,0467
Orge;0,05
Sauge;0,05
Cuivre;0,05
Bois de Châtaignier;0,05
Rune Fo;0,05
Rune Ine;0,05
Rune Vi;0,05
Rune Age;0,05
Rune Cha;0,05
Truite;0,05
Viande Hachée;0,0526
Coffret maudit du Flib;0,0538
Os de Chafer;0,0549
Citron;0,0556
Bec du Tofu;0,0586
Intestin d'Araknosé;0,0586
Poils d'Arakne Malade;0,0586
Œil d'Arakmuté;0,0586
Plume de Piou Bleu;0,0586
Plume de Piou Vert;0,0586
Feuille de salace;0,0588
Plume de Piou Violet;0,0593
Plume de Piou Jaune;0,0593
Plume de Piou Rose;0,0597
Crabe Sourimi;0,06
Plume de Piou Rouge;0,0605
Fragment d'anomalie;0,0626
Pétale de Rose Démoniaque;0,0667
Trèfle à 5 feuilles;0,07
Bronze;0,07
Bois de Noyer;0,07
Avoine;0,07
Poisson-Chaton;0,07
Moumoule;0,07
Bois de Pin;0,07
Graine de Tournesol;0,0716
Langue d'Épouvanteur;0,0716
Serviette de Plage;0,0716
Fleur de Pissenlit Diabolique;0,0727
Patte d'Arakne;0,074
Graine de Pavot;0,0749
Ailes de Moskito;0,0749
Peau de Larve Bleue;0,0749
Peau de Larve Orange;0,0749
Peau de Larve Verte;0,0749
Épine du Champ Champ;0,0749
Peau de Larve Jaune;0,0749
Pétale de Tournesol Sauvage;0,0749
Laine de Bouftou;0,0753
Cœur de Bworkcelhaine;0,0794
Viande Faisandée;0,0825
Poisson Pané;0,09
Pétale de Rose Obscure;0,0952
Nageoire de Compétition;0,0963
Fluide Glacial;0,0963
Conque Marine;0,0963
Crème à bronzer;0,0963
Laine de Ramane Strubien;0,097
Corne de Boufton;0,0996
Menthe Sauvage;0,1
Houblon;0,1
Kobalte;0,1
Bois de Chêne;0,1
Carpe d'Iem;0,1
Rune Pod;0,1
Rune Ini;0,1
Défense du Sanglier;0,1015
Cuir de Bouftou Noir;0,104
Aile du Tofu Maléfique;0,1046
Laine de Boufton Noir;0,1091
Sardine Brillante;0,11
Bois de Bombu;0,11
Poudre Juvénile;0,1102
Cendres Juvéniles;0,1102
Flaque Juvénile;0,1102
Fumée Juvénile;0,1102
Cuir de Scélérat Strubien;0,1109
Gland;0,1109
Noisette;0,1109
Pic de Prespic;0,1109
Poils du Milimulou;0,1109
Crocs de Rats;0,1109
Œil de Pikdoa;0,1109
Gant de Sherpoa;0,1109
Oreille de Douzdoa;0,1109
Casque de Martoa;0,1109
Bout de Blop Coco;0,1158
Bout de Blop Reinette;0,1158
Bout de Blop Griotte;0,1158
Bout de Blop Indigo;0,1158
Boue du Boo;0,1159
Canine Vampiresque;0,1165
Lin;0,12
Manganèse;0,12
Bois d'Érable;0,12
Orchidée Freyesque;0,12
Brochet;0,12
Sang de Vampire;0,1226
Laine du Chef de Guerre Bouftou;0,1244
Cachet du bizut;0,1252
Levure de Boulanger;0,126
Viande Frelatée;0,1326
Boue Juvénile;0,1339
Kralamoure;0,14
Bois d'Oliviolet;0,14
Os Invisible du Chafer Invisible;0,1435
Ailes de Scarafeuille Blanc;0,1495
Ailes de Scarafeuille Rouge;0,1495
Étain;0,15
Bois d'If;0,15
Seigle;0,15
Edelweiss;0,15
Riz;0,15
Silicate;0,15
Anguille;0,15
Œil de Kwoan;0,1554
Bois de Bambou;0,16
Dorade Grise;0,16
Noix de Cajou;0,1611
Cuir de Gargrouille;0,1618
Cuir de Boostache Prépubère;0,1618
Cuir du Cochon de Lait;0,1655
Argent;0,17
Malt;0,17
Bois de Merisier;0,17
Perche;0,17
Graine de Pandouille;0,17
Plume de Tofu;0,176
Œuf de Tofu;0,176
Dent de Tofu Mutant;0,176
Cuir de Ouassingue;0,176
Dent de Garglyphe;0,176
Patte de Tofukaz;0,176
Œil de Tofu Noir;0,176
Antennes de Vilinsekt;0,176
Estomac de Ouassingue;0,1795
Ficelle en Lin;0,18
Côtes du Rib;0,1826
Patte d'Arakne Majeure;0,1845
Raie Bleue;0,19
Bois de Noisetier;0,19
Chanvre;0,2
Bauxite;0,2
Bois d'Ébène;0,2
Rune Pui;0,2
Rune Per Pi;0,2
Rune Ré Feu;0,2
Rune Ré Air;0,2
Rune Ré Eau;0,2
Rune Ré Terre;0,2
