Recurso;XP/unidad
Blue Balloon;0,025
Tofu Pheromone;0,025
Malician Badge;0,025
Kabombz Nut;0,025
Kabombz Larva Fat;0,025
Sundelion Petal;0,025
Spiced Killersilk Pappus;0,025
Wheat;0,03
Ash Wood;0,03
Iron;0,03
Nettles;0,03
Gudgeon;0,03
Magical Cure;0,0372
Grawn;0,04
Gobball Slobber;0,041
Chimeric Feather;0,0424
Internal Fire;0,0424
Chimeric Egg;0,0424
Translucent Petal;0,0427
Eternal Ashes;0,0428
Intangible Meat;0,0428
Gloot Skin;0,0429
Celestial Wool;0,0435
Spiritabby Tail;0,0444
Aminita Volva;0,0452
Incarnam Relic;0,0453
Drinking Water;0,0467
Barley;0,05
Sage;0,05
Copper;0,05
Chestnut Wood;0,05
Str Rune;0,05
Int Rune;0,05
Vit Rune;0,05
Agi Rune;0,05
Cha Rune;0,05
Trout;0,05
Ground Meat;0,0526
Flib's Cursed Little Box;0,0538
Chafer Bone;0,0549
Lemon;0,0556
Tofu Beak;0,0586
Araknoxious Intestine;0,0586
Sick Arachnee Hairs;0,0586
Arachmutated Eye;0,0586
Blue Piwi Feather;0,0586
Green Piwi Feather;0,0586
Babbage Leaf;0,0588
Purple Piwi Feather;0,0593
Yellow Piwi Feather;0,0593
Pink Piwi Feather;0,0597
Crab Surimi;0,06
Red Piwi Feather;0,0605
Anomaly Fragment;0,0626
Demonic Rose Petal;0,0667
Five-Leaf Clover;0,07
Bronze;0,07
Walnut Wood;0,07
Oats;0,07
Kittenfish;0,07
Mumussel;0,07
Pine Wood;0,07
Sunflower Seed;0,0716
Scarecro Tongue;0,0716
Beach Towel;0,0716
Evil Dandelion Flower;0,0727
Arachnee Leg;0,074
Poppy Seed;0,0749
Moskito Wings;0,0749
Blue Larva Skin;0,0749
Orange Larva Skin;0,0749
Green Larva Skin;0,0749
Mush Mush Thorn;0,0749
Yellow Larva Skin;0,0749
Wild Sunflower Petal;0,0749
Gobball Wool;0,0753
Bworcelhain's Heart;0,0794
Rotten Meat;0,0825
Breaded Fish;0,09
Dark Rose Petal;0,0952
Prize Fin;0,0963
Glacial Fluid;0,0963
Marine Conch;0,0963
Suntan Lotion;0,0963
Strubian Raeman Wool;0,097
Gobbly Horn;0,0996
Wild Mint;0,1
Hop;0,1
Cobalt;0,1
Oak Wood;0,1
Ediem Carp;0,1
Pod Rune;0,1
Ini Rune;0,1
Boar Tusk;0,1015
Black Gobball Leather;0,104
Evil Tofu Wing;0,1046
Black Gobbly Wool;0,1091
Shiny Sardine;0,11
Bombu Wood;0,11
Juvenile Powder;0,1102
Juvenile Ashes;0,1102
Juvenile Puddle;0,1102
Juvenile Smoke;0,1102
Strubian Sickrat Leather;0,1109
Acorn;0,1109
Hazelnut;0,1109
Prespic Peak;0,1109
Miliboowolf Hair;0,1109
Rat Fang;0,1109
Spadere Eye;0,1109
Sherpere Glove;0,1109
Twelve Fingeres Ear;0,1109
Hamere Helmet;0,1109
Piece of Coco Blop;0,1158
Piece of Pippin Blop;0,1158
Piece of Morello Cherry Blop;0,1158
Piece of Indigo Blop;0,1158
Mushd Mud;0,1159
Vampire Canine;0,1165
Flax;0,12
Manganese;0,12
Maple Wood;0,12
Freyesque Orchid;0,12
Pike;0,12
Vampire Blood;0,1226
Gobball War Chief Wool;0,1244
Hazing Stone;0,1252
Baker's Yeast;0,126
Contaminated Meat;0,1326
Juvenile Mud;0,1339
Kralove;0,14
Oliviolet Wood;0,14
Invisible Chafer Bone;0,1435
White Scaraleaf Wings;0,1495
Red Scaraleaf Wings;0,1495
Tin;0,15
Yew Wood;0,15
Rye;0,15
Edelweiss;0,15
Rice;0,15
Silicate;0,15
Eel;0,15
Kwoan Eye;0,1554
Bamboo Wood;0,16
Grey Sea Bream;0,16
Cashew Nut;0,1611
Gargoyl Leather;0,1618
Prepubescent Boostache Leather;0,1618
Piglet Leather;0,1655
Silver;0,17
Malt;0,17
Cherry Wood;0,17
Perch;0,17
Pandkin Seed;0,17
Tofu Feather;0,176
Tofu Egg;0,176
Mutant Tofu Tooth;0,176
Ouassingue Hide;0,176
Garglyph Tooth;0,176
Tofukaz Foot;0,176
Black Tofu Eye;0,176
Vilinsekt Antennae;0,176
Ouassingue Stomach;0,1795
Flax String;0,18
Rib Chops;0,1826
Major Arachnee Leg;0,1845
Blue Ray;0,19
Hazel Wood;0,19
Hemp;0,2
Bauxite;0,2
Ebony Wood;0,2
Pow Rune;0,2
Trp Per Rune;0,2
Fire Res Rune;0,2
Air Res Rune;0,2
Water Res Rune;0,2
Earth Res Rune;0,2
Neutral Res Rune;0,2
Psh Res Rune;0,2
Cri Res Rune;0,2
Ginseng;0,2
Monkfish;0,2
Blue Spimush Gill;0,202
Brown Spimush Gill;0,202
Red Spimush Gill;0,202
Green Spimush Gill;0,202
Gobdoroad's Drum;0,2058
Gob-Trotter Spyglass;0,2058
Gobnoramus's Lance Head;0,2058
Gobelishous's Chewed Bone;0,2058
Goballista Cap;0,2058
Trunknid Wood;0,2062
Seed of Contention;0,207
Mineral Meat;0,2078
Oddnivore Intestine;0,2087
Sickle-Hammerhead Shark;0,21
Kaliptus Wood;0,21
Blue Scaraleaf Wings;0,2136
Green Scaraleaf Wings;0,2136
Dopple Mirror;0,2138
Gold;0,22
Hornbeam Wood;0,22
Lard Bass;0,22
Belladonna;0,22
Corn;0,22
Black Scaraleaf Wings;0,2214
Carbon Paper;0,2225
Pa Str Rune;0,2249
Pa Int Rune;0,2249
Pa Vit Rune;0,2249
Pa Agi Rune;0,2249
Pa Cha Rune;0,2249
Bwork Archer Briefs;0,2293
Kurasso Coral;0,2358
Mahlibuh Coral;0,2358
Passaoh Coral;0,2358
Mojeeto Coral;0,2358
Greasy Tofurby Feather;0,2388
Dark Bamboo Wood;0,24
Cod;0,24
Suspicious Pouch;0,2427
Kurasso Bulb;0,2446
Mahlibuh Bulb;0,2446
Passaoh Bulb;0,2446
Mojeeto Bulb;0,2446
