Recurso;XP/unidad
Balão azul;0,025
Feromônio de Tofu;0,025
Insígnia de Maliciano;0,025
Noz Kabombz;0,025
Gordura de Larva Kabombz;0,025
Pétala de Giraleão;0,025
Pluma Temperada de Matapenas;0,025
Trigo;0,03
Madeira de freixo;0,03
Ferro;0,03
Urtiga;0,03
Gobião;0,03
Pó mágico;0,0372
Gramarão;0,04
Baba de Papatudo;0,041
Pena quimérica;0,0424
Fogo interior;0,0424
Ovo Quimérico;0,0424
Pétala diáfana;0,0427
Cinzas eternas;0,0428
Carne intangível;0,0428
Pele de Gwota;0,0429
Lã celeste;0,0435
Rabo de Galmatuno;0,0444
Volva de Aminita;0,0452
Relíquia de Incarnam;0,0453
Água potável;0,0467
Cevada;0,05
Sálvia;0,05
Cobre;0,05
Madeira de castanheiro;0,05
Runa For;0,05
Runa Int;0,05
Runa Vi;0,05
Runa Agi;0,05
Runa Sor;0,05
Truta;0,05
Carne moída;0,0526
Baú maldito do Flib;0,0538
Osso de Chafer;0,0549
Limão;0,0556
Bico do Tofu;0,0586
Intestino de Araknáusea;0,0586
Pelos de Arakne Doente;0,0586
Olho de Arakmutado;0,0586
Pena de Piu Azul;0,0586
Pena de Piu Verde;0,0586
Folha de Saladainha;0,0588
Pena de Piu Violeta;0,0593
Pena de Piu Amarelo;0,0593
Pena de Piu Rosa;0,0597
Caranguejo Surimi;0,06
Pena de Piu Vermelho;0,0605
Fragmento de Anomalia;0,0626
Pétala de Rosa Demoníaca;0,0667
Trevo de 5 Folhas;0,07
Bronze;0,07
Madeira de nogueira;0,07
Aveia;0,07
Peixe-gatinho;0,07
Memexilhão;0,07
Bosque de Pinheiros;0,07
Semente de Girassol;0,0716
Língua de Pavoroso;0,0716
Toalha de praia;0,0716
Flor de Dente-de-Leão Diabólico;0,0727
Pata de Arakne;0,074
Semente de papoula;0,0749
Asas de Moskito;0,0749
Pele de larva azul;0,0749
Pele de larva laranja;0,0749
Pele de larva verde;0,0749
Espinho de Cogu Cogu;0,0749
Pele de Larva Amarela;0,0749
Pétala de Girassol Selvagem;0,0749
Lã de Papatudo;0,0753
Coração de Bworkcelana;0,0794
Carne podre;0,0825
Peixe empanado;0,09
Pétala de Rosa Obscura;0,0952
Nadadeira de competição;0,0963
Fluido glacial;0,0963
Concha Marinha;0,0963
Creme de bronzear;0,0963
Lã de Ramã Strubiano;0,097
Chifre de Paparneiro;0,0996
Menta selvagem;0,1
Lúpulo;0,1
Kobalto;0,1
Madeira de carvalho;0,1
Carpa Diem;0,1
Runa Pod;0,1
Runa Ini;0,1
Presa de Javali;0,1015
Couro de Papatudo Negro;0,104
Asa do Tofu Maléfico;0,1046
Lã de Paparneiro Negro;0,1091
Sardinha brilhante;0,11
Madeira de Bombu;0,11
Pó juvenil;0,1102
Cinzas juvenis;0,1102
Poça juvenil;0,1102
Fumaça juvenil;0,1102
Couro de Celerrato Strubiano;0,1109
Bolota;0,1109
Avelã;0,1109
Espinho de Prespic;0,1109
Pelos do Mililobo;0,1109
Presas de Rato;0,1109
Olho de Gwaimordidedo;0,1109
Luva de Gwaimandão;0,1109
Orelha de Gwaimadúzia;0,1109
Capacete de Gwaimartelo;0,1109
Pedaço de Blop Coco;0,1158
Pedaço de Maça Blop;0,1158
Pedaço de Cereja Blop;0,1158
Pedaço de Índigo Blop;0,1158
Lama do Bawo;0,1159
Canino Vampiresco;0,1165
Linho;0,12
Manganês;0,12
Madeira de Bordo;0,12
Orquídea Freyesca;0,12
Lúcio;0,12
Sangue de Vampiro;0,1226
Lã do Chefe de Guerra Papatudo;0,1244
Pedra da Neblina;0,1252
Fermento de Padeiro;0,126
Carne falsificada;0,1326
Lama Juvenil;0,1339
Kralamor;0,14
