Nombre,Efectos,ID Perfil,ID Imagen
"Montura del Venerable","1 PA | 2 invocaciones",31886,121164
"Gavioto","2000 pods",29456,121135
"Kobraviva","2000 iniciativa | 50 a la esquiva pérdidas de PM",29435,121136
"Lagartiro","50 huida | 40 al retiro de PM",29434,121137
"Kolifante zenusha","120 suerte | 15 % crítico",29433,121132
"Kolifante de Kartago","120 agilidad | 15 % crítico",29432,121131
"Kolifante de Lejandro","120 inteligencia | 15 % crítico",29431,121133
"Kolifante mamuk","120 fuerza | 15 % crítico",29430,121134
"Tortikoli","40 placaje | 80 de resistencia al empuje",25293,121069
"Tae'Niak","2 invocaciones | 15 de daño de tierra | 15 de daño de fuego | 15 de daño de agua | 15 de daños de aire",25292,121070
"Jalapólux","50 de daño crítico | 100 de daño de empuje | Actitud Llamas brakmarianas",19291,121022
"Jalacástor","100 de resistencia a los críticos | 100 de resistencia al empuje | Actitud Llamas bontarianas",19286,121021
"Mortiélago alabastrado","70 potencia (daños generales) | 40 de daño crítico",19044,121019
"Mortiélago","1 PA | 2000 iniciativa",18088,121014
"Perforror","10 % crítico | 1 PM | Actitud Perforar el suelo | Actitud Olisquear el suelo | Actitud Rugir",15243,121010
"Hardo","160 inteligencia | Actitud Emprender el vuelo | Actitud Gusano de tierra",14854,121008
"Kompost","160 fuerza | Actitud Emprender el vuelo | Actitud Gusano de tierra",14848,121007
"Xaparón","160 suerte | Actitud Emprender el vuelo | Actitud Gusano de tierra",14838,121006
"Siroko","160 agilidad | Actitud Emprender el vuelo | Actitud Gusano de tierra",14833,121005
"Kwalteza","25 potencia (daños generales) | 1 PA | Actitud Emprender el vuelo | Actitud Gusano de tierra",14827,121009
"Suskrofa","1 PM | 100 de daño de empuje",13603,121004
"Sakóquero","1 PA | 50 de daño crítico",13465,121003
"Kramkram","50 potencia (daños generales) | 5% resistencia neutral | 5% resistencia a la tierra | 5% resistencia al fuego | 5% resistencia al agua | 5% resistencia al aire | Actitud Sacar la lengua | Actitud Kramuflaje",13182,121002
"Dekarbón","120 prospección",12963,121001
"Dragrillado","70 potencia (daños generales) | 2 invocaciones | Conocer la actitud Superhéroe",12541,121000
